ts,window,session,attempt,t_boundary_sap_ms,t_captcha_req_ms,t_captcha_resp_ms,captcha_ms,lookup_hit,t_submit_req_ms,t_submit_resp_ms,submit_ms,total_from_boundary_ms,status
2026-09-15T05:15:01.876Z,10:45,s1,1,1789449299910,1789449300966,1789449301143,177,hit,1789449301143,1789449301875,732,1965,ok
2026-09-15T06:15:03.602Z,11:45,s1,1,1789452899995,1789452901002,1789452901209,207,hit,1789452901209,1789452903601,2392,3606,wrong-captcha
2026-09-15T06:15:05.597Z,11:45,s1,2,1789452899995,1789452903621,1789452903839,218,hit,1789452903839,1789452905597,1758,5602,wrong-captcha
2026-09-15T06:15:07.992Z,11:45,s1,3,1789452899995,1789452905609,1789452905753,144,hit,1789452905753,1789452907992,2239,7997,wrong-captcha
2026-09-15T06:15:09.063Z,11:45,s1,4,1789452899995,1789452908008,1789452908213,205,hit,1789452908213,1789452909063,850,9068,tied
2026-09-15T06:15:09.584Z,11:45,s1,1,1789452899995,1789452909064,1789452909294,230,hit,1789452909294,1789452909584,290,9589,tied
2026-09-15T06:15:18.576Z,11:45,s1,1,1789452899995,1789452918214,1789452918362,148,hit,1789452918363,1789452918576,213,18581,tied
2026-09-15T06:15:19.057Z,11:45,s1,1,1789452899995,1789452918577,1789452918756,179,hit,1789452918756,1789452919057,301,19062,tied
2026-09-15T07:45:01.533Z,13:15,s1,1,1789458299927,1789458301052,1789458301215,163,hit,1789458301215,1789458301533,318,1606,tied
2026-09-15T07:45:17.044Z,13:15,s1,1,1789458299927,1789458316628,1789458316761,133,hit,1789458316761,1789458317043,282,17116,tied
2026-09-15T07:45:17.471Z,13:15,s1,1,1789458299927,1789458317044,1789458317202,158,hit,1789458317202,1789458317471,269,17544,tied
2026-09-15T08:15:16.366Z,13:45,s1,1,1789460099933,1789460114444,1789460114582,138,hit,1789460114582,1789460116366,1784,16433,tied
2026-09-15T08:15:18.524Z,13:45,s1,1,1789460099933,1789460116367,1789460116595,228,hit,1789460116596,1789460118523,1927,18590,tied
2026-09-15T08:15:19.875Z,13:45,s1,1,1789460099933,1789460118525,1789460118702,177,hit,1789460118702,1789460119875,1173,19942,tied
2026-09-15T08:45:01.842Z,14:15,s1,1,1789461899913,1789461900918,1789461901061,143,hit,1789461901061,1789461901841,780,1928,tied
2026-09-15T08:45:04.224Z,14:15,s1,1,1789461899913,1789461901842,1789461902035,193,hit,1789461902035,1789461904223,2188,4310,wrong-captcha
2026-09-15T08:45:07.281Z,14:15,s1,2,1789461899913,1789461904237,1789461904375,138,hit,1789461904375,1789461907280,2905,7367,ok
2026-09-15T09:15:01.881Z,14:45,s1,1,1789463699935,1789463700957,1789463701094,137,hit,1789463701095,1789463701880,785,1945,ok
2026-09-15T09:45:02.018Z,15:15,s1,1,1789465499908,1789465500955,1789465501245,290,hit,1789465501245,1789465502017,772,2109,tied
2026-09-15T09:45:11.203Z,15:15,s1,1,1789465499908,1789465510258,1789465510430,172,hit,1789465510430,1789465511203,773,11295,tied
2026-09-15T10:15:01.943Z,15:45,s1,1,1789467299859,1789467301007,1789467301151,144,hit,1789467301152,1789467301943,791,2084,tied
2026-09-15T10:15:10.226Z,15:45,s1,1,1789467299859,1789467309873,1789467310030,157,hit,1789467310031,1789467310226,195,10367,reduce
2026-09-15T11:15:01.944Z,16:45,s1,1,1789470899911,1789470900964,1789470901117,153,hit,1789470901117,1789470901944,827,2033,tied
2026-09-15T11:15:04.379Z,16:45,s1,1,1789470899911,1789470901945,1789470902132,187,hit,1789470902132,1789470904379,2247,4468,tied
2026-09-15T11:45:01.456Z,17:15,s1,1,1789472699880,1789472700942,1789472701083,141,hit,1789472701084,1789472701455,371,1575,ok
2026-09-15T13:15:01.319Z,18:45,s1,1,1789478099889,1789478100923,1789478101095,172,hit,1789478101095,1789478101319,224,1430,ok
2026-09-15T14:45:02.412Z,20:15,s1,1,1789483499902,1789483500970,1789483501106,136,hit,1789483501107,1789483502411,1304,2509,tied
2026-09-15T14:45:07.432Z,20:15,s1,1,1789483499902,1789483502413,1789483502588,175,hit,1789483502588,1789483507431,4843,7529,tied
2026-09-15T14:45:10.338Z,20:15,s1,1,1789483499902,1789483507433,1789483507574,141,hit,1789483507574,1789483510337,2763,10435,tied
2026-09-15T15:45:01.753Z,21:15,s1,1,1789487099942,1789487100940,1789487101092,152,hit,1789487101092,1789487101752,660,1810,wrong-captcha
2026-09-15T15:45:03.714Z,21:15,s1,2,1789487099942,1789487101775,1789487101918,143,hit,1789487101918,1789487103713,1795,3771,tied
2026-09-15T16:15:02.489Z,21:45,s1,1,1789488899978,1789488901049,1789488901186,137,hit,1789488901187,1789488902488,1301,2510,tied
