ts,window,session,boundary_ms,probe_sent_local_ms,probe_resp_local_ms,sap_offset_ms,rtt_ms,unlock_lag_ms,learned_lag_ms
2026-09-18T07:26:59.584Z,12:57,s2,1789716420000,1789716419513,1789716419583,1501,71,1050,1050
2026-09-18T07:27:59.601Z,12:58,s1,1789716480000,1789716479530,1789716479601,1500,71,1066,1050
2026-09-18T07:28:59.600Z,12:59,s1,1789716540000,1789716539530,1789716539600,1500,71,1066,1050
2026-09-18T07:30:59.583Z,13:01,s2,1789716660000,1789716659512,1789716659583,1500,71,1048,997
2026-09-18T07:31:59.582Z,13:02,s2,1789716720000,1789716719512,1789716719582,1500,71,1048,997
2026-09-18T07:32:59.582Z,13:03,s2,1789716780000,1789716779512,1789716779582,1500,71,1048,997
2026-09-18T07:33:59.583Z,13:04,s2,1789716840000,1789716839512,1789716839583,1500,71,1048,997
2026-09-18T07:35:59.649Z,13:06,s1,1789716960000,1789716959578,1789716959649,1500,71,1114,1064
2026-09-18T07:36:59.614Z,13:07,s1,1789717020000,1789717019544,1789717019614,1500,71,1080,1055
2026-09-18T07:37:59.604Z,13:08,s1,1789717080000,1789717079534,1789717079604,1501,71,1071,1046
2026-09-18T07:39:24.793Z,13:09,s1,1789717140000,1789717164772,1789717164793,0,30,24787,24762
2026-09-18T07:42:13.605Z,13:12,s1,1789717320000,1789717333583,1789717333605,0,31,13599,13574
2026-09-18T08:05:58.525Z,13:36,s1,1789718760000,1789718758504,1789718758525,1500,21,15,0
2026-09-18T08:06:58.526Z,13:37,s1,1789718820000,1789718818505,1789718818526,1500,21,16,0
2026-09-18T08:07:13.621Z,13:37,s1,1789718820000,1789718833599,1789718833621,0,32,13615,13590
2026-09-18T08:10:59.332Z,13:41,s2,1789719060000,1789719059311,1789719059332,1501,21,823,799
2026-09-18T08:11:59.322Z,13:42,s1,1789719120000,1789719119303,1789719119322,1500,21,814,789
2026-09-18T08:12:59.655Z,13:43,s1,1789719180000,1789719179584,1789719179655,1501,71,1121,1071
2026-09-18T08:13:59.621Z,13:44,s1,1789719240000,1789719239550,1789719239621,1501,71,1087,1062
